Date,Clicks,Impressions,CTR,Position
2025-04-19,0,15,0%,32.2
2025-04-18,0,6,0%,25.17
2025-04-17,1,9,11.11%,23.56
2025-04-16,0,4,0%,23.75
2025-04-15,3,13,23.08%,15.38
2025-04-14,0,21,0%,31.62
2025-04-13,0,16,0%,29.12
2025-04-12,0,4,0%,39.25
2025-04-11,0,10,0%,25.7
2025-04-10,1,14,7.14%,13.21
2025-04-09,1,10,10%,17.4
2025-04-08,3,9,33.33%,10.56
2025-04-07,5,10,50%,11.5
2025-04-06,6,17,35.29%,7.06
2025-04-05,0,10,0%,18.7
2025-04-04,2,12,16.67%,13.83
2025-04-03,11,20,55%,14.55
2025-04-02,8,20,40%,14.6
2025-04-01,3,32,9.38%,20.19
2025-03-31,10,28,35.71%,14.89
2025-03-30,12,37,32.43%,18.81
2025-03-29,2,16,12.5%,29.38
2025-03-28,4,17,23.53%,34.18
2025-03-27,15,33,45.45%,12.79
2025-03-26,9,18,50%,17.89
2025-03-25,3,14,21.43%,18.14
2025-03-24,2,12,16.67%,38.75
2025-03-23,0,5,0%,68.2
2025-03-22,1,10,10%,24.9
2025-03-21,2,11,18.18%,39.45
2025-03-20,2,14,14.29%,16.07
2025-03-19,3,12,25%,17.83
2025-03-18,1,5,20%,6
2025-03-17,0,12,0%,7.75
