Top queries,Clicks,Impressions,CTR,Position
hci direct,44,71,61.97%,2.13
hcidirect,23,30,76.67%,1.33
hci chairs,1,10,10%,5.4
hcl chairs,0,45,0%,23.36
steel chairs,0,29,0%,52.69
hci furniture,0,13,0%,6.15
commercial trestle tables,0,13,0%,48
6ft banqueting table,0,12,0%,41.83
sandringham chair,0,10,0%,87
8ft banquet table,0,9,0%,14.11
steel chair,0,7,0%,71.14
folding banqueting tables,0,4,0%,85.25
hci distribution,0,4,0%,97.5
trestle table 8ft,0,3,0%,29.67
8ft table,0,3,0%,32
steel frame chair,0,3,0%,69.67
chair for queen,0,3,0%,101.33
6ft banquet table,0,2,0%,22
6ft banquet tables,0,2,0%,28
8ft trestle table,0,2,0%,31
6ft wooden tables,0,2,0%,44.5
chair steel,0,2,0%,45
8 ft table,0,2,0%,47
aluminium wood look chairs,0,2,0%,53.5
folding wooden trestle table,0,2,0%,58.5
round folding table seats 10,0,1,0%,1
round folding tables that seat 6,0,1,0%,1
round tables for sale,0,1,0%,1
sofa shops near me,0,1,0%,1
hotel bar chairs,0,1,0%,3
8 ft rectangle table dimensions,0,1,0%,5
folding banquet table 8 ft,0,1,0%,5
8 ft rectangle table,0,1,0%,7
8ft banquet table dimensions,0,1,0%,8
hci event venue,0,1,0%,9
8ft wooden trestle table,0,1,0%,10
professional banquet tables,0,1,0%,12
grey and silver chair,0,1,0%,21
hci hours,0,1,0%,25
banquet table 6ft,0,1,0%,33
gold frame chair,0,1,0%,41
8ft wood table,0,1,0%,42
round table 6ft,0,1,0%,43
table 8 ft,0,1,0%,46
rectangular banquet table,0,1,0%,47
large banquet table,0,1,0%,63
wooden banquet tables,0,1,0%,70
chair steel frame,0,1,0%,77
6ft trestle tables,0,1,0%,80
the hci group,0,1,0%,86
commercial wooden tables,0,1,0%,93
buydirect furniture,0,1,0%,94
bubble seating,0,1,0%,95
